0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Navn;FoodId;Svind;Energi, kJ;Energi, kcal;Proteinomregningsfaktor(NCF);total-N;Protein, total;Protein, deklaration;Kulhydrat best. v/diff.;Kulhydrat, tilgængelig;kulhydrat, deklaration;Tilsat sukker;Kostfibre;Fedt, total;Fedtsyrekonverteringsfaktor (FCF);Alkohol;Aske;Tørstof;Vand;A-vitamin;Retinol;ß-caroten;D-vitamin;D3 cholecalciferol;25-hydroxycholecalciferol;E-vitamin;alfa-tokoferol;gamma-tokoferol;delta-tokoferol;alfa-tokotrienol;K1-vitamin;B1-vitamin;thiamin;HET, hydroxyethylthiazole;B2-vitamin, riboflavin;Niacin;niacin2;B6-vitamin;Pantothensyre;Biotin;Folat;Frit folat;B12-vitamin;C-vitamin;L-ascorbinsyre;L-dehydroascorbinsyre;Chlorid, Cl;Natrium, Na;Kalium, K;Calcium, Ca;Magnesium, Mg;Phosphor, P;Jern, Fe;Kobber, Cu;Zink, Zn;Jod, I;Mangan, Mn;Chrom, Cr;Selen, Se;Molybdæn, Mo;Cobolt, Co;Nikkel, Ni;Kviksølv, Hg;Arsen, As;Cadmium, Cd;Bly, Pb;Tin, Sn;L-mælkesyre;D-mælkesyre;Mælkesyre, total;Citronsyre;Oxalsyre;Æblesyre;Eddikesyre;Benzoesyre;Organiske syrer, tot.;Histamin;Tyramin;Phenylethylamin;Putrescin;Cadaverin;Spermin;Spermidin;Serotonin;Fructose;Galaktose;Glucose;Monosaccharider, total;Lactose;Maltose;Saccharose;Disaccharider, total;Raffinose;Andre sukkerarter;Sukkerarter, ialt;Sorbitol;Mannitol;Inositol;Maltitol;Sukkeralkoholer, total;Stivelse;(a)Hexoses;(b)Pentoses;(c)UronicAcids;Cellulose;Lignin;Crude fibre;Neutr.Det.Fibre (NDF);C4:0;C6:0;C8:0;C10:0;C12:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C22:0;C24:0;Andre mætt.;C14:1,n-5;C15:1;C16:1,n-7;C16:1,trans;C17:1,n-7;C18:1,n-9;C18:1,n-7;C18:1,trans n-9;C20:1,n-9;C20:1,n-11;C20:1,trans;C22:1,n-9;C22:1,n-11;C22:1,trans;C24:1,n-9;Andre monoumætt.;C18:2,n-6;C18:2,conj-A, udifferentieret;C18:2,trans, udifferentieret;C18:3,n-3;C18:3,n-6;C18:4,n-3;C20:2,n-6;C20:4,n-3;C20:3,n-3;C20:3,n-6;C20:4,n-6;C20:5,n-3;C22:5,n-3;C22:6,n-3;Andre polyumættede;Andre fedtsyrer;Sum mættede;Sum monoumættede;Sum polyumættede;Fedtsyrer, total;Sum n-3 fedtsyrer;Sum n-6 fedtsyrer;Transfedtsyrer, total;Cholesterol;Isoleucin;Leucin;Lysin;Methionin;Cystin;Phenylalanin;Tyrosin;Threonin;Tryptofan;Valin;Arginin;Histidin;Alanin;Asparaginsyre;Glutaminsyre;Glycin;Prolin;Serin
Ost, blå- og hvidskimmel, 70+;686;0;1858;444;6,38;2,002;12,8;12,5;0,6;0,6;0,9;0;0;44,1;0,945;0;2,5;60;40;356;340;194;0,41;0,41;;0,69;0,69;;;;0;0,04;;;0,5;3,93;1;0,23;1,73;1,5;36;2;1,23;0;0;;930;620;82;581;16,7;269;0,069;0,049;1,79;15;0,009;0,26;7,3;6;;0,61;;;0,011;0,5;;;;;;;;;;;;;;;;;;;0,1;0;0;0,1;0;;0;0;;;0,1;;;;;;0;;;;;;;;1,38;1,024;0,568;1,246;1,424;4,34;0,445;12,909;;4,896;;;;;0,356;;0,59;;;8,457;0,389;1,602;;;;;;;;;0,757;0,134;0,289;0,178;;;;;;;;;;;;0,668;28,232;11,394;1,358;41,652;0,178;0,757;1,602;145;701;1181;1021;360;46;661;701;440;176;861;400;360;400;901;2503;260;1341;458
Ost, fast, 20+, alle typer;687;0;936;224;6,38;4,707;30;29,4;1,1;1,1;1,7;0;0;11;0,945;0;3,9;46;54;92;88;48;0,14;0,14;;0,16;0,16;;;;0;0,06;;;0,32;7;0,1;0,08;0,34;1,5;60;;1,6;0;0;;1170;840;70,5;753;32,2;549;0,086;0,081;3,83;18;0,019;1,6;12;6;;2;0,06;1;0,01;0,45;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;0;0;;;0;;;;;;0;;;;;;;;0,403;0,289;0,155;0,361;0,403;1,208;0,124;3,262;;1,115;;;;;0,103;;0,145;;;1,838;0,062;0,341;;;;;;;;;0,165;0,031;0,083;0,072;;;;;;;;;;;;0,237;7,32;2,489;0,351;10,397;0,072;0,165;0,341;36;1647;2777;2401;847;108;1553;1647;1036;414;2024;941;847;941;2118;5884;612;3154;
Ost, fast, 30+, alle typer;688;0;1097;262;6,38;4,498;28,7;28,1;1;1;1,6;0;0;16;0,945;0;4,5;50,2;49,8;142;136;70;0,18;0,18;;0,41;0,41;;;;0;0,055;;;0,325;6,7;0,1;0,09;0,34;1,5;60;1;1,52;0;0;;;729;80,8;733;32,3;590;0,19;0,086;4,5;13,8;0,059;0,25;9,5;6;1;1,36;0,06;1;0,01;0,45;;;;;;;;;;;3,5;;;;;;;0;;;;;0,05;;;0,05;;;0,05;;;;;;0;;;;;;;;0,54;0,35;0,23;0,5;0,62;1,77;;4,73;;1,62;;;;;0,23;;0,35;;;3,55;;;;0,18;;;;;;;0,33;;;0,12;;;;;;;;;;;;;10,36;4,31;0,45;15,12;0,12;0,33;0;53;1574;2654;2294;810;103;1484;1574;990;396;1934;900;810;900;2024;5623;585;3014;
Ost, fast, 40+, alle typer;689;0;1297;310;6,38;4,028;25,7;25,2;1,4;1,4;1,9;0;0;22,6;0,945;0;3,1;52,8;47,2;200;192;99;0,23;0,23;;0,58;0,58;;;;0;0,05;;;0,33;6;0,1;0,09;0,34;1,5;60;1;1,6;0,5;0,5;;;723;65;960;27;500;0,106;0,086;3,2;10,4;0,059;0,25;8,7;6;;1,36;0,06;1;0,01;0,45;;;;;;;;;;;3,5;;;;;;;0;;;;;0,05;;;0,05;;;0,05;;;;;;0;;;;;;;;0,77;0,49;0,32;0,7;0,88;2,5;;6,679;;2,29;;;;;0,32;;0,49;;;5,019;;;;0,26;;;;;;;0,47;;;0,17;;;;;;;;;;;;;14,629;6,089;0,64;21,358;0,17;0,47;0;75;1410;2377;2054;725;93;1329;1410;886;354;1732;806;725;806;1813;5035;524;2699;0
Ost, fast, 45+, alle typer;690;0;1394;333;6,38;3,874;24,7;24,2;1,4;1,4;1,9;0;0;25,7;0,945;0;3,7;55,4;44,6;230;220;114;0,26;0,26;;0,666;0,666;;;;0;0,05;;;0,33;5,78;0,1;0,09;0,34;1,5;60;1;1,38;0,5;0,5;;1004;590;65;686;27;528;0,106;0,044;3,2;10,4;0,016;0,19;9,35;6;;1,36;0,06;1;0,01;0,45;;;;;;;;;;;3,5;;;;;;;0;0,1;0;0;0,1;0;;0;0;;0;0,1;;;;;;0;;;;;;;;0,936;0,649;0,359;0,757;0,856;2,657;0,285;7,015;;2,843;;;;;0,228;;0,343;;;4,904;0,207;0,961;;;;;;;;;0,4;0,104;0,207;0,184;;;;;;;;;;;;0,373;16,357;6,643;0,895;24,268;0,184;0,4;0,961;85;1356;2286;1976;697;89;1278;1356;852;341;1666;775;697;775;1743;4843;504;2596;1056
Paksoi, pak-choi, pai tsai, rå;691;12;61;14;6,25;0,24;1,5;1,5;2,2;1,2;1,2;0;1;0,2;0,687;0;0,8;4,7;95,3;150;0;1800;0;0;;;;;;;;0,04;;;0,07;0,75;0,5;0,236;0,088;;66;;0;45;45;;;65;252;105;19;37;0,8;0,021;0,19;;0,159;;;;;;;;;;;;;;;0,1;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;;0;0;0;0;0,001;0,001;;0,022;;0,001;;;;;;;0;;;0,014;;;;0;;0;;;;;0,039;;;0,051;;0;;;;;0;0;0;0;;;0,025;0,014;0,09;0,129;0,051;0,039;0;0;84;89;89;9;17;43;29;48;15;65;84;26;86;108;360;43;31;
Palmekerneolie;692;0;3700;884;6,25;0;0;0;0;0;0;0;0;100;0,945;0;0;100;0;0;0;0;0;0;;25,6;25,6;31,6;7;14,3;0;0;;;0;0;0;0;0;;0;;0;0;0;;;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;0;;0;0,2;3,3;3,7;47;16,4;;8,1;;2,8;;;;;;;0;;;11,4;;;;0;;0;;;;;1,6;;;0;;0;;;;;0;0;0;0;;;81,5;11,4;1,6;94,5;0;1,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157
Palmeolie;693;0;3700;884;6,25;0;0;0;0;0;0;0;0;100;0,956;0;0;100;0;0;0;0;0;0;;19,1;19,1;31,6;7;14,3;8;0;;;0;0;0;0;0;;0;;0;0;0;;;0;0;0;0;0;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;0;;0;0;0;0;0,1;1,004;;43,683;;4,318;;;;;;;0,301;;;36,754;;;;0,1;;0;;;;;9,138;;;0,201;;0;;;;;0;0;0;0;;;49,105;37,155;9,339;95,599;0,201;9,138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;860
Papaya, mamaja, træmelon, rå;694;33;199;47;6,25;0,108;0,7;0,7;11,5;9,4;9,4;0;2,1;0,3;0,8;0;0,5;13;87;19,7;0;236;0;0;;;;;;;;0,027;;;0,032;0,488;0,338;0,019;0,218;;57,5;;0;78,5;78,5;;;4,4;197;24,6;21,7;10,3;0,735;0,016;0,073;;0,011;;;;;3;;;;;;;;;;;;;;;;;;;;;;1,5;3,53;;3,63;7,15;;;0;0;;;7,15;;;;;;;;;;;;0,77;0,91;0;0;0;0;0,002;0,014;;0,062;;0,004;;;;;;;0,039;;;0,035;;;;0;;0;;;;;0,012;;;0,048;;0;;;;;0;0;0;0;;;0,082;0,074;0,06;0,216;0,048;0,012;0;0;9;17;28;2;;10;6;12;9;11;11;6;15;54;37;19;11;
Paradisæble, råt;695;8;351;84;6,25;0,064;0,4;0,4;19,9;19,3;19,3;0;0,6;0,3;0,7;0;0,4;21,1;78,9;2;0;24;0;0;;;;;;;;0,03;;;0,02;0,167;0,1;;;;;;0;8;8;;;1;194;18;7;15;0,36;0,067;;;0,115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;;;;;;0,001;0,001;;0,057;;0,009;;;;;;;0,001;;;0,016;;;;;;;;;;;0,104;;;0,021;;;;;;;;;;;;;0,068;0,017;0,125;0,21;0,021;0,104;0;0;16;25;25;4;5;11;8;14;4;19;13;6;14;70;42;16;14;844
Paranød, tørret, rå;696;52;2844;680;5,41;2,773;15;17,3;13,7;8,4;6,1;0;5,3;65;0,95;0;3,7;97,4;2,6;0;0;0;0;0;;5;5;;;;;1,13;;;0,035;2,93;0,2;0,105;0,23;2;4;1;0;0;0;;;3;523;140;357;590;2,5;1,76;4,2;0,05;2,78;;103;;;;;;;;;;;;;;;;;;;;;;;;;0,13;;;;;;;;;;;2,3;;;;;;0,6;;;;;;;;0;0;0;0;0;0;;8,877;0;6,114;0,176;0;0;;0;;0,236;;;19,587;0;;;0,03;;0;0;;0;;26,615;;;0,079;;0;0;;0;0;;0;0;0;;0;15,167;19,853;26,694;61,714;0,079;26,615;0;0;582;1220;527;1081;416;666;416;416;164;971;2440;388;610;1331;3300;721;776;700
Parmesan, 32+;697;0;1488;356;6,38;5,266;33,6;32,9;1,5;1,5;2,2;0;0;24,1;0,945;0;4,1;63,3;36,7;214;205;106;0,24;0,24;;0,61;0,61;;;;0;0,039;;;0,332;7,99;0,271;0,091;0,53;1,5;7;;1,6;0;0;;;998;92;1180;44;930;0,82;0,03;2,75;13,8;0,059;0,3;11;;;4;;;0,012;0,55;;;;;;;;;;;;5;;;;;;0,003;;;;;0,05;;;0,05;;;0,05;;;;;;0;;;;;;;;0,821;0,521;0,34;0,751;0,931;2,663;;7,138;;2,443;;;;;0,34;;0,521;;;5,356;;;;0,27;;;;;;;0,501;;;0,18;;;;;;;;;;;;;15,608;6,487;0,681;22,776;0,18;0,501;0;80;1843;3107;2686;948;121;1738;1843;1159;463;2264;1053;948;1053;2370;6583;685;3528;622
Parmesan, revet;698;0;1781;426;6,38;6,028;38,5;37,7;4,1;4,1;4,8;0;0;28,6;0,945;0;8;79,2;20,8;266;255;132;0,27;0,27;;0,76;0,76;;;;0;0,029;;;0,486;8,95;0,114;0,049;0,325;1,5;10;;1,6;0;0;;;1529;125;1109;38;729;0,9;0,03;3,87;13,8;0,059;0,4;14;;;4;0,1;1;0,016;0,7;;;;;;;;;;;11,9;5;;;;;;0,003;;;;;;;;;;;0,1;;;;;;0;;;;;;;;0,973;0,62;0,41;0,896;1,106;3,166;;8,459;;2,89;;;;;0,41;;0,62;;;6,351;;;;0,324;;;;;;;0,591;;;0,219;;;;;;;;;;;;;18,52;7,705;0,81;27,035;0,219;0,591;0;99;2110;3557;3074;1085;139;1989;2110;1326;530;2592;1206;1085;1206;2713;7535;784;4039;
Passionsfrugt, grenadil, rå;699;46;435;104;6,25;0,444;2,8;2,8;23,1;15,2;15,2;0;8;1,8;0,7;0;0,8;28,6;71,5;52,6;0;632;0;0;;;;;;;;0;;;0,13;1,5;1,5;;;;;;0;39,5;39,5;;;2,75;226;6,2;31,4;69,2;0,738;;0,745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,33;;2,33;4,65;;;2,6;2,6;;;7,25;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
Pasta, kogt;700;0;541;129;5,7;0,877;5;5,5;27;25;24,5;0;2;0,4;0,69;0;0,2;32,6;67,4;0;0;0;0;0;;0,07;0,07;;;0,05;0;0,04;;;0,01;1,2;0,3;0,01;0,06;0,2;2;0;0;0;0;;;2;78;13;24;50;0,6;0,2;0,7;1;0,2;1,4;1,8;7;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;0;0;0;0;;;0;;;;;;26,9;1,34;0,57;0,1;0;0,02;;;;;;;;;;0,052;;0,002;0,002;;;;;;;;;0,042;;;;;;;;;;;0,166;;;0,012;;;;;;;;;;;;;0,056;0,042;0,178;0,276;0,012;0,166;0;0;228;386;114;82;76;281;96;140;54;254;202;123;175;237;1789;184;649;14
Pasta, rå;701;0;1532;366;5,7;2,162;12,3;13,5;75,6;72,4;71,2;0;3,2;1,8;0,69;0;0,8;90,5;9,5;0;0;0;0;0;;0,2;0,2;;;0,15;0;0,15;;;0,035;3,23;1;0,05;0,3;1;29,4;4;0;0;0;;;2;215;20;62;140;1,7;0,25;1,2;0,6;0,58;4;4,8;20;;9,4;;;2,2;2,1;;;;;;;;;;;;;;;;;;;0;;0;0;0;0;0;0;;;0;;;;;;73,9;3,71;1,57;0,29;0;0,08;;;;;;;;;;0,233;;0,009;0,009;;;;;;;;;0,189;;;;;;;;;;;0,747;;;0,054;;;;;;;;;;;;;0,251;0,189;0,801;1,241;0,054;0,747;0;0;562;951;281;201;188;692;238;346;134;627;497;303;432;584;4410;454;1600;
Pastiller, med sukker, uspec.;702;0;1577;377;6,25;0,704;4,4;4,4;84,9;84,9;84,9;;0;1,6;0,8;0;1,7;92,6;7,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;178;355;80;102;;7;0,3;0,31;;0,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,4;;15,3;16,7;;;53,4;53,4;;;70,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pastiller, sukkerfri, uspec.;703;0;1589;380;6,25;0,16;1;1;90,1;90,1;90,1;;0;1,1;0,8;0;1,5;93,7;6,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61,5;222;156;74;;3,3;0,18;0,05;;0,72;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,5;0,5;;9,7;0,3;10;1,4;;11,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1007
Pastinak, rå;704;20;264;63;6,25;0,336;2,1;2,1;14,7;10,2;10,2;0;4,5;0,5;0,8;0;1;18,3;81,7;1,67;0;20;0;0;;2,3;2,3;;;;;0,09;;;0,18;3,55;3,2;0,11;0,6;0,1;67;57;0;6;6;;;6;635;55;30;94;0,8;0,14;0,85;0,25;0,4;1;0,2;0;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,4;;;;;;;;;;;;;;;;;;;;;0,072;;0,003;;;;;;;;;;0,028;;;;;;;;;;;0,273;;;0,024;;;;;;;;;;;;;0,075;0,028;0,297;0,4;0,024;0,273;0;0;71;97;91;21;5;64;33;64;21;91;202;34;81;228;195;54;124;
Paté, pålæg;705;0;1064;254;6,25;2,08;13;13;2,5;2,3;2,3;;0,2;21,7;0,908;0;2,7;39,9;60,1;8800;8800;;0;0;;1,07;1,07;;;;;0,196;;;1,11;8,03;5,6;0,2;1,67;27;252;;9,9;21,3;21,3;;1120;944;180;11;14,1;163;6,08;0,49;2,68;;0,14;2,5;21;;;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0,26;;4,4;;2,43;0;0;0;;0;;0,46;;;8,6;;0,101;;0,158;;;;;;;2,4;;;0,201;;;;;;;0,192;;;0;;0,5;7,09;9,319;2,793;19,702;0,201;2,592;0,101;127;603;1123;894;270;104;603;416;541;146;770;770;333;790;1082;1685;894;770;760
Peanuts, (jordnød, ristet og saltet);706;0;2614;625;5,41;4,54;24,6;28,4;17,2;9,5;5,7;0;7,7;53,3;0,923;0;3,2;98,3;1,7;0;0;0;0;0;;8,1;8,1;;;;;0,141;;;0,085;16,1;12,2;0,47;1,22;114;124;;0;0,8;0,8;;737;503;700;45,2;190;391;1,46;0,57;3,27;0;1,7;5;6,9;;;60;0,2;;3;7;;;;;;;;;;;0,015;;;;;;;0,003;;;;;;;;;;;3,1;;;;;;5;;;;;;5,33;;;;0;0;0;0;;5,7;;1,29;0,63;1,33;0,77;;;;0;;;24,5;0;0;;0,62;;;;;;;14,4;;;0;;;;;;;;;;;;0;9,72;25,12;14,4;49,24;0;14,4;0;0;1135;1907;999;300;318;1589;999;772;236;1498;3632;726;1180;3496;5720;1725;1407;654
Peber, chili, konserves;707;0;112;27;6,25;0,144;0,9;0,9;6,1;4,9;4,9;0;1,2;0,1;0,7;0;0,4;7,5;92,5;596;0;7150;0;0;;;;;;;;0,02;;;0,05;1;0,8;0,153;0,034;;10;;0;68;68;;;1173;187;7;14;17;0,5;0,101;0,17;;0,138;;;;;;;;;;;;;;;0,04;;;;0,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;;;;;;0;0,001;;0,008;;0,001;;;;;;;0;;;0,005;;;;;;;;;;;0,052;;;0,002;;;;;;;;;;;;;0,01;0,005;0,054;0,069;0,002;0,052;0;0;29;48;40;11;17;27;19;33;12;37;43;17;37;130;120;33;39;451
Peber, chili, rå;708;11;187;45;6,25;0,32;2;2;9,5;7,7;7,7;0;1,8;0,2;0,7;0;0,6;12,3;87,7;366;0;4390;0;0;;;;;;;;0,09;;;0,09;1,33;0,9;0,278;0,061;;23;;0;166;166;;;7;340;14;25;67,5;1,2;0,174;0,3;;0,237;;;;;;;;;;;;;;;0,04;;;;0,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,8;;;;;;0;0,001;;0,015;;0,003;;;;;;;0;;;0,011;;;;;;;;;;;0,104;;;0,005;;;;;;;;;;;;;0,019;0,011;0,109;0,139;0,005;0,104;0;0;64;106;90;24;38;61;42;74;26;83;96;42;83;285;262;74;86;80
Peber, hvid;709;0;1483;354;6,25;1,664;10,4;10,4;74,5;70,2;70,2;0;4,3;2,1;0,956;0;1,6;88,6;11,4;0;0;0;0;0;;;;;;;0;0,022;;;0,126;0,212;0,212;;;;;;0;;;;;5;73;265;90;176;14,3;;1,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;475
Peber, sort;710;0;1274;305;6,25;1,752;11;11;71;44,5;44,5;0;26,5;3,3;0,956;0;4,3;89,5;10,5;9,5;0;114;0;0;;0,72;0,72;;;;0;0,109;;;0,24;1,14;1,14;0,34;;;10;;0;21;21;;;44;1259;437;194;173;28,9;1,13;1,42;;;;3,1;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;111
Peberfrugt, grøn, rå;711;24;89;21;6,25;0,144;0,9;0,9;4,7;2,9;2,9;0;1,8;0,3;0,8;0;0,4;6,3;93,7;13,9;0;167;0;0;;0,55;0,55;;;;;0,034;0,034;;0,025;0,683;0,6;0,19;0,23;;35;8;0;104;99,1;5;;6;187;8,55;11,1;27,4;0,354;0,083;0,11;0,4;0,1;1,5;0,1;0;;8,2;0,07;0,07;0,601;0,5;;;;;;;;;0,03;;0,01;;;;;;;;1,04;;0,84;1,88;0;0;0,07;0,07;;;1,95;;;;;;0,1;0,25;0,19;0,67;0,61;0,26;;;;;;;;;;0,041;;0,014;;;;;;;;;;0,008;;;;;;;;;;;0,096;;;0,055;;;;;;;;;;;;;0,055;0,008;0,151;0,214;0,055;0,096;0;0;27;36;42;7;7;27;13;29;5;42;35;14;35;118;124;30;23;
Peberfrugt, konserves;712;0;80;19;6,25;0,128;0,8;0,8;3,9;2,7;2,7;0;1,2;0,3;0,8;0;3,8;8,8;91,3;8;0;96;0;0;;;;;;;;0,025;;;0,03;0,633;0,55;;;;52;23;0;46,5;46,5;;;1369;146;41;15;20;0,8;0,13;0,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,047;;0,015;;;;;;;;;;0,009;;;;;;;;;;;0,107;;;0,062;;;;;;;;;;;;;0,062;0,009;0,169;0,24;0,062;0,107;0;0;24;32;37;6;6;24;12;26;5;37;31;13;31;105;110;27;20;
Peberfrugt, rød, rå;713;17;129;31;6,25;0,208;1,3;1,3;6,3;4,6;4,6;0;1,7;0,4;0,8;0;0,6;8,6;91,4;106;0;1270;0;0;;2,9;2,9;;;;;0,05;0,05;;0,094;1,72;1,6;0,305;0,27;;88;23;0;191;187;4;;5;247;5,78;12,7;30,5;0,481;0,08;0,22;0,4;0,1;1;0,1;70;;10;;;;;;;;;;;;;;;;;;;;;;0,003;2,43;;1,57;4;0;0;0,05;0,05;;;4,05;;;;;;0;0,24;0,06;0,71;0,67;0,29;;;;;;;;;;0,062;;0,02;;;;;;;;;;0,012;;;;;;;;;;;0,143;;;0,082;;;;;;;;;;;;;0,082;0,012;0,225;0,319;0,082;0,143;0;0;40;52;60;10;10;40;19;42;7;60;50;21;50;171;179;44;33;622
Peberrod, rå;714;26;438;105;6,25;1,232;7,7;7,7;20,5;13;13;0;7,5;0,7;0,8;0;1,8;30,7;69,3;1,67;0;20;0;0;;0;0;;;;;0,14;;;0,11;1,25;0,6;0,18;;;;;0;152;152;;;6;587;93,7;25;80,5;1,3;0,23;1,4;0,9;0,46;3;0,2;0;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,3;;;;;;3,7;;;;;;;;;;;;;;;0,1;;0,009;;;;;;;0,005;;;0,062;;;;;;;;;;;0,118;;;0,267;;;;;;;;;;;;;0,109;0,067;0,385;0,561;0,267;0,118;0;0;148;197;209;38;9;123;83;148;39;222;1639;136;122;370;616;136;505;
Pecannød, tørret;715;47;2968;709;5,3;1,73;9,2;10,8;13,9;4,3;2,6;0;9,6;72;0,951;0;1,5;96,5;3,5;6,67;0;80;0;0;;;;;;;;0,66;;;0,13;5,2;1,17;0,21;0,863;;22;;0;1,1;1,1;;;0;410;70;121;277;2,53;1,2;4,53;;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,6;;;;;;;;;4,442;;1,073;;;;;;;0,333;;;44,206;;;;0,494;;;;;;;17,167;;;0,73;;;;;;;;;;;;;5,515;45,033;17,897;68,445;0,73;17,167;0;0;381;623;346;225;242;484;329;294;242;450;1315;277;398;830;1834;450;433;480
Pecannød, tørristet;716;0;3055;730;5,3;1,792;9,5;11,2;13,6;4,2;2,5;0;9,4;74,3;0,951;0;1,6;98,9;1,1;6,67;0;80;0;0;;;;;;;;0,45;;;0,107;5,35;1,17;0,187;0,703;;16;;0;0,7;0,7;;;1;424;72;132;293;2,8;1,17;5,07;;3,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,66;;0;0;0;0;0;0;0;3,95;0;0,96;0,07;0;0;;0;;0,29;;;39,3;;;;0,44;;0;;;0;;15,2;;;0,65;;0;0;;0;;0;0;0;0;;;4,98;40,03;15,85;60,86;0,65;15,2;0;0;394;645;358;233;251;502;340;305;251;466;1362;269;412;860;1900;466;448;77
Pekannød, olieristet;717;0;3076;735;5,3;1,736;9,2;10,9;13;3,5;1,9;0;9,5;75,2;0,951;0;1,4;98,9;1,1;6,67;;80;0;0;;;;;;;;0,473;;;0,11;5,25;1,2;0,187;0,737;;15;;0;0,7;0,7;;;1;392;67;121;263;2,47;1,2;4,47;;3,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,61;;;;0;0;0;0;0;4,35;0;1,06;0,143;0,16;0,113;;0;;0,33;;;43,3;;;;0,49;;0;;;0;;16,8;;;0,71;;;0;;0;;0;0;0;0;;;5,826;44,12;17,51;67,456;0,71;16,8;0;0;382;625;347;226;243;486;330;295;243;451;1319;260;399;833;1840;451;434;77
Persille, rå;718;34;201;48;6,25;0,594;3,7;3,7;7,8;3,7;3,7;0;4,1;1,2;0,8;0;2,1;14,8;85,2;474;0;5690;0;0;;2,7;2,7;;;;790;0,12;;;0,3;2,63;1,7;0,2;0,3;0,4;116;41;0;308;308;;;64;641;185;29;72;3,6;0,09;0,46;13,5;2,7;7;0,1;10;;50;1,5;3;3;19;;;;;;;;;;;;;;;;;;;0,3;;0,5;0,8;0;0;0;0;;;0,8;;;;;;0,43;0,89;0,89;0,28;1,63;0,59;;;;;;;;;;0,155;;0,007;;;;;;;0,027;;;;;;;;;;;;;;0,274;;;0,457;;;;;;;;;;;;;0,162;0,027;0,731;0,92;0,457;0,274;0;0;149;255;226;52;18;178;101;154;56;214;154;77;244;368;309;178;267;33
